Reference, Value, Footprint, Datasheet, MFR, MPN, SPR, SPN, SPURL,    PosX,     PosY,     Rot,Side
C1,8p,Capacitors_SMD:C_0603,,Multicomp,MC0603N8R0D500CT,Farnell,1759051,-,133.05,-105.2,180,top
C2,10u,Capacitors_SMD:C_0603,,Murata,ZRB18AR61E106ME01L,Farnell,2469398,-,140.75,-79.75,270,top
C3,8p,Capacitors_SMD:C_0603,,Multicomp,MC0603N8R0D500CT,Farnell,1759051,-,137.05,-107.9,180,top
C4,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,137.5,-97.6,90,top
C5,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,142.3,-105.7,180,top
C6,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,144.9,-106.6,270,top
C7,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,148.4,-104,0,top
C8,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,150.8,-101.55,0,top
C10,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,143.3,-92.55,90,top
C12,10u,Capacitors_SMD:C_0603,,Murata,ZRB18AR61E106ME01L,Farnell,2469398,-,146.8,-106.7,270,top
C13,1u,Capacitors_SMD:C_0603,,Multicomp,MC0603B105K160CT,Farnell,2320814,-,150.8,-100.1,0,top
C14,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,135.2,-101.55,270,top
C15,1u,Capacitors_SMD:C_0603,,Multicomp,MC0603B105K160CT,Farnell,2320814,-,160.25,-85.8,270,top
C16,4.7uF,Capacitors_SMD:C_0603,,Murata,GRM188R60J475ME19D,Farnell,2362095,-,161.1,-98.4,0,top
C17,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,162.75,-88.05,180,top
C18,4.7uF,Capacitors_SMD:C_0603,,Murata,GRM188R60J475ME19D,Farnell,2362095,-,161.3,-92.4,0,top
D1,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,132.1,-85.6,0,top
D2,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,132.1,-88.6,0,top
D3,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,132.1,-94.6,0,top
D4,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,132.1,-91.6,0,top
D5,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,163.9,-94.6,270,top
FID1,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,,-,-,-,-,-,132.1,-107.6,0,top
FID2,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,,-,-,-,-,-,168.2,-107.3,0,top
FID3,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,,-,-,-,-,-,132,-81,0,top
J9,DEBUG,Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm_SMD,,Samtec,FTSH-105-01-L-DV,Farnell,1667759,-,150.335,-90.75,0,top
J11,UART,Pin_Headers:Pin_Header_Angled_1x03_Pitch2.54mm,,Multicomp,MC34747,Farnell,1593427,-,,,,
J19,LiPo,Connectors_JST:JST_PH_S2B-PH-K_02x2.00mm_Angled,,JST,S2B-PH-K-S (LF)(SN),Farnell,9491902,-,,,,
J25,USB_OTG,tail:USB_Micro-B_SMD,,Molex,47346-0001,Farnell,1568026,-,168.55,-96.4375,180,top
Q1,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-323_SC-70,,Nexperia,NX3020NAKW,Farnell,2311183,-,156,-100.4,180,top
R3,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,132.1,-87.1,0,top
R4,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,132.1,-90.1,0,top
R5,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,132.2,-96.1,0,top
R6,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,132.05,-93.1,0,top
R8,100K,Resistors_SMD:R_0603,,Multicomp,MCWR06X1003FTL,Farnell,2447226,-,155.2,-97.2,270,top
R9,100K,Resistors_SMD:R_0603,,Multicomp,MCWR06X1003FTL,Farnell,2447226,-,156.95,-102.6,0,top
