Reference, Value, Footprint, Datasheet, MFR, MPN, SPR, SPN, SPURL,Package,    PosX,    PosY,     Rot,Side
C1,8p,Capacitors_SMD:C_0603,,Multicomp,MC0603N8R0D500CT,Farnell,1759051,-,C_0603,130.9,-86.8,90,top
C2,10u,Capacitors_SMD:C_0603,,Murata,ZRB18AR61E106ME01L,Farnell,2469398,-,C_0603,140.75,-79.75,270,top
C3,8p,Capacitors_SMD:C_0603,,Multicomp,MC0603N8R0D500CT,Farnell,1759051,-,C_0603,131.7,-93.3,180,top
C4,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,132.4,-86.8,90,top
C5,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,138.5,-95.8,180,top
C6,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,142.3,-95.8,0,top
C7,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,142.8,-94.2,0,top
C8,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,145.1,-90.8,0,top
C10,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,139.45,-83.5,0,top
C12,10u,Capacitors_SMD:C_0603,,Murata,ZRB18AR61E106ME01L,Farnell,2469398,-,C_0603,144.9,-94.3,270,top
C13,1u,Capacitors_SMD:C_0603,,Multicomp,MC0603B105K160CT,Farnell,2320814,-,C_0603,145.5,-89.4,0,top
C14,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,138.8,-76.25,270,top
C15,1u,Capacitors_SMD:C_0603,,Multicomp,MC0603B105K160CT,Farnell,2320814,-,C_0603,150.3,-93.75,90,top
C16,4.7uF,Capacitors_SMD:C_0603,,Murata,GRM188R60J475ME19D,Farnell,2362095,-,C_0603,155.4,-90.4,270,top
C17,100n,Capacitors_SMD:C_0603,,Multicomp,MC0603B104K500CT,Farnell,1759122,-,C_0603,147.95,-91.65,0,top
C18,4.7uF,Capacitors_SMD:C_0603,,Murata,GRM188R60J475ME19D,Farnell,2362095,-,C_0603,161.4,-90.6,270,top
D1,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,LED_0603,160.8,-76.6,270,top
D2,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,LED_0603,162.2,-76.6,270,top
D3,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,LED_0603,165,-76.6,270,top
D4,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,LED_0603,163.6,-76.6,270,top
D5,RED,LEDs:LED_0603,,Kingbright,KP-1608SURCK,Farnell,2290329,-,LED_0603,159.2,-93.2,180,top
FID1,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,,-,-,-,-,-,Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,162.1,-84.6,0,top
FID2,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,,-,-,-,-,-,Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,166.1,-73.1,0,top
FID3,Fiducial,Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,,-,-,-,-,-,Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,133.8,-73.3,0,top
J1,LED_DEBUG,tail:LED_DEBUG_Pads,,,,,,,,,,,
J2,POWER_DEBUG,tail:LED_DEBUG_Pads,,,,,,,,,,,
J3,LiPo,tail:Battery_SMD,,,,,,-,,,,,
J9,DEBUG,tail:Debug_Pads,,,,,,-,,,,,
J11,UART,tail:UART_Pads,,,,,,-,,,,,
J19,LiPo,Connectors_JST:JST_SH_SM02B-SRSS-TB_02x1.00mm_Angled,,JST,SM02B-SRSS-TB (LF)(SN),Farnell,1679117,-,JST_SH_SM02B-SRSS-TB_02x1.00mm_Angled,167,-86.3,90,top
J25,USB_OTG,tail:USB_Micro-B_SMD,,Molex,47346-0001,Farnell,1568026,-,USB_Micro-B_SMD,159.0625,-98.55,90,top
Q1,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-323_SC-70,,Nexperia,NX3020NAKW,Farnell,2311183,-,SOT-323_SC-70,148.8,-89.2,90,top
Q2,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-323_SC-70,,Nexperia,NX3020NAKW,Farnell,2311183,-,SOT-323_SC-70,137.6,-98.1,180,top
Q3,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-323_SC-70,,Nexperia,NX3020NAKW,Farnell,2311183,-,SOT-323_SC-70,141.1,-98.1,180,top
R3,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,R_0603,160.8,-73.5,90,top
R4,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,R_0603,162.3,-73.5,90,top
R5,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,R_0603,166.6,-76.45,270,top
R6,150,Resistors_SMD:R_0603,,Multicomp,MCWR06X1500FTL,Farnell,2447255,-,R_0603,168.1,-76.45,270,top
